k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.0) G1(z=2.0) G1(z=3.0)
1.4553447636171342 1.3238661115242345 1.8155037947463493 2.0021328067726287 2.006810718652541 1.8889550902928982
1.486120296396585 1.1816502271423401 1.8203758954486937 1.9708784106384716 2.047655212392081 1.8952626218228295
1.5167910912228217 1.260286582092377 1.7664624454141409 1.98444883894208 2.0800350448792564 1.902931226656984
1.5474307304263113 1.2231357969985246 1.8016905220848471 1.9866127103631759 2.033804162719563 1.9476126574423058
1.5782021273026037 1.2367696101623504 1.9100275161565357 1.9383033789063697 2.048745031377811 1.9382515268452627
1.6089618646750554 1.160010109935501 1.8112937973262415 2.0031596729614 2.043781267441374 1.9911900036085737
1.6396850514586925 1.22263967206379 1.843418272703103 2.0254979442048278 2.0885917208326252 1.9596964571029263
1.6701411943258633 1.03447739335651 1.802310334137526 1.9797564881622545 2.09627746686089 1.9365808054526343
1.700745924180268 1.110486530809155 1.7928015943506694 1.937948753655483 2.101368901622549 1.9518306315194334
1.7314389100653933 1.1423640866137286 1.7689082962193958 1.8978420254056516 2.0745026850971957 1.9840665280976697
1.761936815822272 1.087334424419233 1.7635810083599845 1.9809304630330118 2.0985395140045755 2.016236558838835
1.7925998832778753 1.2482995099648075 1.6641647182861217 1.958288528752092 2.1371140295605455 2.034669936035585
1.8232612133958979 1.214015708967 1.6611025308668692 1.9527423979899323 2.128959166089314 2.0452900834193786
1.8540414287667313 1.14866156509144 1.6335237021988351 1.9948743969350686 2.097632654385711 2.016923322089111
1.8847280983890078 1.1304461322777237 1.675204253843996 1.8600377954331555 2.102346504077808 2.0628125903846724
1.915230839193568 1.0256776164649362 1.61936314594546 1.863079602854078 2.125697837234803 2.0418300525976885
1.946006155147987 1.1513372241454078 1.6164966652295683 1.9469612819343252 2.137965609545431 2.065706074263165
1.976693155676542 1.0332727337939385 1.620158752925211 1.8423849375628127 2.1427051274275035 2.0712837535150133
2.007360188552611 1.0399099330702288 1.6846094276672883 1.8269815152566167 2.1591960713865657 2.1043007023664844
2.038003088676487 1.0244376409409706 1.5729927618416402 1.845810621130255 2.1555789556938505 2.071392012527996
2.0685132193509324 1.1651032039373155 1.553600305690407 1.8028224770929473 2.211033801876318 2.094900954299754
2.0992384153417376 1.0631695849041278 1.4968000337256822 1.7926811409679608 2.2154943305444683 2.105568540098009
2.1299534404724976 1.0966911158693138 1.4627509096122933 1.8159482173849053 2.157309036777265 2.1462077661821817
2.1605175346191645 1.066863855038881 1.4730513550339859 1.775521450393893 2.1794579045985056 2.1272302107691328
2.191058119444821 1.0712100932805646 1.4062925644838105 1.764350719819988 2.2199971974190853 2.124012483294525
2.2216711258296016 1.0185383294980577 1.4146895459324789 1.787745710791567 2.183980719991346 2.1674690372417365
2.2525190216018127 1.130330562814501 1.3776213343249673 1.7603854145028712 2.241920563565131 2.1523100689154777
2.2832892553799526 0.9487140748873479 1.3203263739004334 1.7090808742685448 2.230293068442645 2.1733238407516495
2.3139375263725728 1.0803000984655697 1.3266577948528482 1.7263115194193106 2.2069712048195322 2.1678546684357407
2.344605724868078 1.099565468052014 1.291266694734858 1.7513957277222432 2.1985493797516504 2.1800997022109168
2.375184477138245 1.0406613796597497 1.252111350790467 1.6710658788849408 2.1644218772481594 2.2132050450848544
2.4057246673293573 0.9936523152371657 1.2759391647499494 1.7376058274955295 2.2178543082852675 2.1851871871289963
2.4363448113806334 1.1085410698960552 1.3561706933644306 1.6380369063444675 2.2158832441082037 2.197370695859965
2.466913116374169 1.103295062425108 1.2836398444819306 1.6366434419315707 2.2174161217039092 2.219764473240655
2.4975563657518705 1.060421292621806 1.270731625116353 1.571827004373782 2.2003909413872407 2.2066356531196614
2.5284007482199686 0.9873063091055367 1.2667810506423756 1.5634535098364601 2.2408296783471187 2.2232568046919305
2.5590890072444137 1.0689235092305072 1.2141330787407592 1.5699284924696013 2.200109978317797 2.2370288400990512
2.5896806116806927 1.0159746475675424 1.2638548144562196 1.640214809224525 2.1668238052293933 2.221206213364866
2.6203466014530283 0.8971473880867176 1.2707164455503521 1.5283260477685279 2.1652211203054135 2.236173615521433
2.651080912702199 0.957460282967072 1.23021956082989 1.557142453743345 2.2135502064951265 2.2368570066185347
2.6817126062011036 0.9207854556588513 1.1644525906093677 1.5761933590711412 2.241564666324795 2.246087936033339
2.712165630681784 0.8179879619981989 1.1902098338912173 1.598925418008295 2.27013811982669 2.2336418148893475
2.742858123723105 0.9214229024779319 1.1225212059891065 1.5154431148965468 2.2394850910638096 2.238914626588847
2.7736726388980055 0.8820638601016628 1.1599527501243263 1.4789902293080988 2.1866391958182483 2.278294773064519
2.804302820655223 0.8750402275637792 1.0975681491932112 1.4660869053298855 2.2006150424656044 2.271722298912665
2.834917291331422 0.888476871116729 1.199910118906728 1.4653298230907792 2.252746252297234 2.242703092923164
2.8655716015120105 0.8896088751504394 1.11183433329124 1.5134987669724158 2.229989078771938 2.282552232817233
2.8962234584307502 0.8754491768457606 1.0435008475068415 1.4509480005596802 2.2385579207763295 2.2784538119768643
2.926854426156121 0.8338718963593006 1.0185974268428115 1.396847933966313 2.239022443306979 2.310522302161634
2.9574052944139524 0.8365370420964546 1.096147011241619 1.4300787148400809 2.185117426753049 2.2926433550944454
