k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.0) G1(z=2.0) G1(z=3.0)
1.1184033762889067 1.6894061342367706 1.8561409187604538 1.8877059760804085 1.8956368375062103 1.7765563362616006
1.1489189970368519 1.746601544367743 1.8936258033125886 1.9456941856529115 1.849587436330447 1.8007689888643554
1.179575424721023 1.6334037846242566 1.779880222998572 1.965614400915955 1.925903694247709 1.7877930455088142
1.2102466689689488 1.5782947264656944 1.8196133245415609 1.9703560700399798 1.9439267513615128 1.8182963691064282
1.240838034762679 1.6786294840337812 1.8334321060622132 2.0395727185266765 1.9395716625442059 1.7891593542897353
1.2714792993571857 1.49980233840871 1.9318510519024585 2.0007524794929767 1.941360257114484 1.833573735147938
1.3021868989754697 1.503955627766278 1.751286327302727 2.008071491861197 2.000574700082325 1.835000366816232
1.3329883524705177 1.4196793320879675 1.919973982723413 1.9763332991046239 1.967559343691669 1.8421424519854819
1.3636780656048282 1.5228617349321938 1.875278301235097 2.019975173059401 1.95885899372472 1.8539370121770749
1.394333280992331 1.4500089971445962 1.84414502807878 2.0341811675584407 2.020500100091252 1.8905428798533923
1.424821071494309 1.3716198109495537 1.8543982984566818 1.9763420402628735 2.0231133781920567 1.910743948282104
1.4553447636171342 1.3292674439675756 1.8647447090925366 2.00669763305814 2.0034837776107253 1.902717077381131
1.486120296396585 1.190805862770783 1.869719619307977 1.9740939843434202 2.041889644753124 1.9095968977132771
1.5167910912228217 1.2593683126880406 1.8252956690729185 1.98958752164961 2.0746559618502918 1.9189106444518138
1.5474307304263113 1.22266318820474 1.8552829725928137 1.9932893984141113 2.0287552532167954 1.961381808384976
1.5782021273026037 1.2378689088048989 1.9645581862099895 1.9470441654981814 2.0430161938457267 1.9541898796559045
1.6089618646750554 1.1570449625491264 1.873394483573482 2.0102914751143572 2.0343638179247976 2.0055687272479084
1.6396850514586925 1.2216355658611189 1.9075866855396546 2.0325490825966686 2.0785866666387207 1.976940848386423
1.6701411943258633 1.0220610960724563 1.8603546915383347 1.9919938957525152 2.087557331080621 1.9557542532334418
1.700745924180268 1.0978865185389752 1.8563469641141315 1.9461152108482962 2.093350078203745 1.9698885505094932
1.7314389100653933 1.1362281641427363 1.8375896651973544 1.907063741873217 2.070043205036718 2.0024558834732975
1.761936815822272 1.0773688846271667 1.8318264209993593 1.9939383940652826 2.0902111330898485 2.0341508050943125
1.7925998832778753 1.238621490677686 1.7428178675396464 1.969172359888482 2.1281017204334476 2.054718997182563
1.8232612133958979 1.2070467101089222 1.7415920794741138 1.9650300612762772 2.121125091109742 2.062954522854854
1.8540414287667313 1.1381373464731004 1.7159853201017943 2.0049345599487407 2.0914953829423215 2.0373175974123114
1.8847280983890078 1.1240670627013616 1.7547437323644384 1.8699498760554962 2.095119460368579 2.0821833405481205
1.915230839193568 1.0210245333365076 1.7040824872743805 1.8709945458523114 2.1127468315284865 2.0614573367643976
1.946006155147987 1.1463870768466666 1.7022908711011886 1.9545097455131106 2.1290564627809765 2.0863999378506692
1.976693155676542 1.0301709316888252 1.6997480645183105 1.851723850623383 2.1310704974099695 2.092162073289945
2.007360188552611 1.0350809101269876 1.7665441594682594 1.8354198506891102 2.1468088807306622 2.125581435398121
2.038003088676487 1.0121388922649266 1.6534982867866952 1.8518345216371328 2.142717728384951 2.0923180300133826
2.0685132193509324 1.1501703822233578 1.625282126861094 1.8120372669593379 2.200944954635085 2.116729050434271
2.0992384153417376 1.0529825490276479 1.5762743683784755 1.798363662944435 2.200422086522828 2.1276423870977266
2.1299534404724976 1.0822102167426373 1.5444314444816685 1.821752474970288 2.1453124595996975 2.16786153772266
2.1605175346191645 1.0626537723489349 1.5528534738850222 1.7791991972655798 2.169344921385004 2.148051325013332
2.191058119444821 1.053787689085065 1.4818241685534979 1.7752226998458074 2.205744447267394 2.1442544480658103
2.2216711258296016 1.003386800010042 1.4909527082131704 1.7955593784002384 2.169501876193192 2.1884234546803323
