k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.20) d^2P/dk^2(z=0.40) d^2P/dk^2(z=0.60) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.00) d^2P/dk^2(z=1.20) d^2P/dk^2(z=1.40) d^2P/dk^2(z=1.60) d^2P/dk^2(z=1.80) d^2P/dk^2(z=2.00) 
0.00018965 4170610273.955942 3096773782.913108 3174265593.57083 2578267753.649164 -19662577.62907463 3046228029.743961 876931133.3694206 931747634.2173295 -265541847.63984355 -838300235.5811952 25071822.231106598 
0.00019348 -3450408178.7036123 -2443184909.4975286 -2531047561.428405 -2752445376.1173973 207164146.99729195 -2402783316.2670946 -1275859378.73796 -593603454.0331123 -477409645.3091301 1400486418.6527998 -377089464.04252446 
0.00019739 -2034749044.6812975 -738527726.3530163 -989178499.6544067 -143666637.75088474 -1436236263.9566503 -705510533.0023464 329100831.64089596 -611971107.9091846 848835734.542624 -2253948800.4082866 -878206782.8288865 
0.00020138 4286545288.349435 2147487445.069441 2734555085.3993883 2793856549.787663 1117907105.76833 2112096114.401698 82016918.79231407 1077260420.8496847 -348790101.2309946 2338345166.958508 1639825256.153454 
0.00020544 -3631742131.083421 -2681357953.823584 -3805165711.717381 -3594074250.906069 -722670612.0150951 -1551711744.2025473 373083024.1338973 -1626976472.2126951 -983691289.2898936 -1821195765.0254023 -1552693203.1430361 
0.00020959 -3450486310.220996 -2234975842.981467 -190539967.61104152 -36904847.21575455 -1426392380.118258 -457423178.67910486 -2311500983.320776 -108287639.56794608 -108572227.06431375 799361573.9577578 25650576.49137288 
0.00021383 1101716174.785524 1400709753.0819578 -628290087.0501326 -461778415.03451717 23184602.22063851 -917199802.5284808 1400029052.8848295 211514321.85199922 660656337.5125569 -1903711699.847071 525544574.0963602 
0.00021815 3024138547.7969966 706897822.5277245 3040866388.1025248 1623589117.6446438 1004794158.5489002 1596689837.077505 178095764.36513084 966560325.7248456 -267146639.7981051 2392205254.512992 -712691639.8319649 
0.00022255 -6181218146.604454 -3431030880.6152406 -4893322237.270538 -3112329280.0717134 -1193188689.2423053 -1582903566.4584715 -1908304518.4744647 -2431783381.856486 -565438016.5458802 -2447443719.9805055 529706093.267501 
0.00022705 1425876243.6296992 422531820.9885956 1096321094.9999022 757152048.6428539 -1111226099.464074 -417789962.3358345 168879253.6238553 929865314.4995407 -869171831.5614718 1550708674.4522495 -1263747697.5366416 
