k[h/Mpc] dP/dk(z=0.00) dP/dk(z=0.20) dP/dk(z=0.40) dP/dk(z=0.60) dP/dk(z=0.80) dP/dk(z=1.00) dP/dk(z=1.20) dP/dk(z=1.40) dP/dk(z=1.60) dP/dk(z=1.80) dP/dk(z=2.00) 
0.00018221 3998009.4108754783 3239978.0115296515 2627718.6164770313 2149322.6630419455 1772994.765361984 1482006.3967051257 1251543.063599979 1065456.194413547 919110.9621631881 797857.5847536994 699312.0144244733 
0.00018589 3992613.655052151 3234784.943533697 2624598.8424351118 2146339.230507128 1773537.1221438125 1477793.3711213444 1248196.6065662224 1064313.972932022 917974.6736392381 798999.2161874712 698556.1827266675 
0.00018965 3991656.0993228247 3232592.9636741364 2624195.026738208 2144679.48834968 1770127.8497221158 1478062.5134681142 1247736.650280091 1064463.537161192 917092.8410776234 796520.9003230997 699947.6038091036 
0.00019348 3993035.2863352327 3233844.586366727 2625426.7892697603 2144345.938202653 1770486.915227456 1479294.710094422 1246972.7026902102 1065111.0832662447 915670.088968626 797597.4868636817 699273.4900250346 
0.00019739 3982311.803963515 3227624.3381636385 2618544.747320343 2138684.0392155405 1768084.0792388003 1473217.9956191 1245121.7897306355 1062754.1849976475 916396.2269730774 795928.9679073496 696819.385862401 
0.00020138 3986804.137469633 3230435.212802478 2622026.7736089043 2143971.168090054 1767449.0125682147 1476024.133853992 1245941.9696427498 1063682.4371769638 917393.8180115342 796097.3386586173 698338.8147166837 
0.00020544 3988133.387878883 3229351.455669707 2619853.4340374786 2142346.7261567833 1768251.3426505337 1477161.7141254963 1246865.8225268899 1062566.513592697 914688.8807887768 797147.1519445416 698515.6927842947 
0.00020959 3973437.7638631766 3219150.063041337 2611562.3447528724 2134812.444528181 1763792.036941857 1472992.7591605168 1242843.6052615773 1058965.840560752 912422.4339923419 795026.8459980763 695347.0793339927 
0.00021383 3968458.3711760533 3217381.41893075 2609826.4250369905 2133755.23601221 1760817.236452714 1470078.5584403567 1240911.2847690529 1059184.6811271943 913592.852306492 792685.6237311908 696515.6130532386 
0.00021815 3977370.2173768315 3221933.8512940668 2615037.589847264 2136264.747129848 1763037.6705759761 1471546.2569149826 1244320.034374313 1061729.32236596 914442.8332535552 793740.7698092693 696111.3753912497 
0.00022255 3970424.642259455 3215940.758566274 2610962.1869790936 2132989.518772508 1762623.2026084508 1471576.5867103445 1240513.5751152723 1058505.8316424706 912611.1470095984 793619.2451852406 695708.8071888078 
0.00022705 3959725.1229777616 3209171.635682114 2602418.9344089846 2127690.370001793 1757438.2693338613 1467075.0262705572 1236599.8682693583 1055126.5159909173 909383.2748513569 791601.5913328021 694057.2135792022 
0.00023164 3959630.309241609 3208137.9984986447 2603103.5906088073 2128502.5110774506 1755647.5814396725 1465501.5858798563 1238830.9862277415 1057547.5676442166 908718.395729128 792322.9082467621 693217.2463564137 
0.00023632 3962377.7329612235 3207561.50383801 2603352.437005905 2128554.0328438813 1757161.1367002798 1467059.3893275016 1238407.0575774887 1057689.149370156 911976.49319292 790042.2532167492 694798.1081766534 
0.00024109 3949448.173177202 3206024.1724861395 2602459.0284512825 2125525.4025938734 1755364.679377411 1466170.4685338365 1236225.6256289405 1054586.9836431576 909957.3390386011 790360.3534001583 692694.658071622 
0.00024596 3954411.4087251616 3200903.13531141 2596964.1178191295 2122686.769871724 1752654.1388433166 1463036.8973676572 1235797.664726258 1054000.3150728822 906918.7895945847 791255.1796819611 692192.6143088795 
0.00025093 3957424.805588229 3197846.660121458 2595221.6744226674 2121520.159775466 1752346.5282635018 1462208.0792051945 1235252.3091322926 1052504.1336845688 907473.533087215 788490.7786150746 690946.3163179171 
0.000256 3942001.3918998362 3197031.614166422 2595837.929092722 2120438.5351017686 1749946.8749926938 1461093.7946542865 1233571.2301272918 1052887.0361227475 907423.9926869529 788042.2675866345 691534.5467455958 
0.00026117 3946273.1329126656 3191812.535814645 2589841.8632753417 2117411.727902285 1747995.1556417977 1459080.9478714128 1230964.1962125958 1052182.2805200105 906185.5642778184 787720.1627974589 691231.4941016196 
0.00026645 3928675.4027986 3190088.8131105835 2587715.32664302 2116369.2242920436 1748032.4997525602 1458664.96079886 1232096.3150416845 1048698.090295781 905248.496582999 786622.0418937743 689162.476742228 
0.00027183 3923282.0479983264 3190291.3445794904 2588244.4272592627 2114935.988894636 1745833.6017672308 1458555.9079948282 1230820.978650624 1051275.191455918 904328.274211487 788001.4808246107 689047.6166642157 
0.00027732 3947081.3341320357 3186011.980524458 2586598.4153769133 2114089.2050524075 1745281.0418317385 1456051.1495679514 1230237.6044781196 1049750.103944586 903469.2319735987 786374.5381358742 689025.047846355 
0.00028292 3930673.1816625874 3180298.5213218746 2582029.9731459646 2110275.659012112 1741914.9679333344 1454914.185356803 1227769.0892544538 1047417.3969332139 902873.8805674544 784297.061637593 688252.5709450208 
0.00028864 3918424.6449723993 3179655.6125337966 2578577.488670284 2107771.44210997 1739622.3605460776 1454004.0135328718 1226444.3717684774 1046832.7990593337 902075.3226060576 783277.0120154277 687060.4857005842 
0.00029447 3927385.89672346 3176263.4899903797 2578892.6664369404 2107786.4489190457 1741061.0783192264 1451210.4238630089 1227339.3845891494 1045806.4373806977 901794.0179593917 783851.651446679 688136.3511997156 
0.00030042 3904027.2584142266 3175094.16865585 2574603.2349904077 2103142.076059956 1737630.807833347 1450947.880049462 1224286.6872177983 1045022.5438549534 899980.2728624741 782539.079056872 686046.5302553255 
0.00030649 3917999.814422426 3171374.2002422493 2572066.7336247005 2103588.1119253202 1736172.4433049802 1450422.3248152905 1223296.5758818956 1043686.7102031218 899338.6548905246 783196.1765894542 685915.0191941583 
0.00031268 3913850.0767501732 3167648.809583845 2572758.040666447 2104071.3024265477 1736906.4472953174 1448945.8331791463 1223531.1141118617 1044550.70058702 900694.9797639736 782826.7452400925 686043.5632910398 
0.00031899 3899988.6746010664 3165794.1304598236 2568857.76267304 2099307.558019911 1732240.7070325778 1446593.1222952078 1221734.3287099986 1042051.283826198 897848.6886790544 779994.1061790022 683601.6282648671 
0.00032544 3902444.809422671 3166473.401123409 2565938.4115961734 2096244.6568826041 1730953.407802864 1445123.1132259578 1220435.8413837692 1041395.5735982744 896848.3856456827 780654.3296528419 684609.5490288858 
0.00033201 3900958.677889071 3154208.3444018257 2563636.213189052 2096259.633581244 1730926.1849154271 1445661.3053369205 1219048.0480467 1041077.7505297528 897134.7493171117 779356.3215317714 683886.6415513025 
0.00033872 3896761.3602626347 3148577.605208986 2559335.377704642 2092697.4193814145 1728053.4657326941 1442501.9795721 1218305.5435408805 1038483.4053087698 895773.598389549 778282.2738234771 682379.8108377415 
0.00034556 3892897.8989312574 3158503.9366991147 2559895.956229669 2090935.9132642737 1727345.1849617856 1441264.4136379939 1218325.3689837498 1039619.2159670298 895369.7035007193 779023.4791200988 682511.2176152946 
0.00035254 3888532.8793090647 3146844.014589808 2557137.3954567267 2090684.1039712685 1725889.435276115 1440774.3966709399 1215344.995859284 1037520.940152992 893335.1473513169 777182.4478408983 681683.4668598912 
0.00035966 3873141.2741001584 3147977.7477965886 2552139.1273486214 2086733.533815983 1722336.6502940007 1438259.8954456323 1213954.3380328151 1035921.2048261915 893011.5753311968 776122.2720255797 680138.8535274032 
0.00036693 3884861.3128796075 3149144.061591513 2549312.230199843 2083880.195209534 1721307.8617416162 1437280.48670892 1213145.1181720789 1035638.9802505292 892531.9154615144 775770.6639815286 679848.1353720449 
0.00037434 3884080.781864602 3138505.994689026 2553050.011615886 2084472.3791355225 1720683.8040593336 1436589.9935333342 1212744.0315755783 1034078.0196305583 891104.4594481924 776097.4588292676 679443.4452066853 
0.0003819 3865858.313199303 3134934.802260137 2544998.8104652353 2079368.0216335137 1716777.8638876714 1433681.9047722132 1210496.6157910714 1032548.1677287838 889826.311630958 773170.9342162695 678613.6408550383 
0.00038962 3860017.7291031103 3130585.298446768 2538544.8832708197 2077307.655004872 1715941.4312335108 1432199.3035965886 1209748.8638422552 1032086.5948522211 889911.7483931193 772740.3984214021 678065.4649974029 
0.00039749 3862583.213483654 3124407.758101411 2541183.1244093664 2077074.5843937902 1714550.5526428898 1431506.3593013792 1209003.4319523857 1031562.647797837 888577.4418181953 773353.2847935434 677189.758062881 
0.00040552 3859592.12123136 3126460.0941871037 2542091.002820826 2074839.7786730118 1712725.170303313 1430506.06308054 1207143.222042894 1030362.9300612467 887926.5572260781 771675.4466086231 677306.483982405 
0.00041371 3855705.040515544 3124376.3766323877 2530841.545295938 2071264.65271015 1710816.5671427173 1428501.9020120807 1205393.9980061157 1028319.6126317258 886467.5457629581 771269.289023764 675278.3896935395 
0.00042207 3847788.0984397037 3119395.587279658 2525677.802859909 2068065.8495520377 1707554.471755152 1426002.8588402257 1203987.941775212 1026825.4799810301 884753.7769045617 769287.1916753603 674837.3375319394 
0.0004306 3843998.7511706883 3119345.045398293 2534723.0173966857 2068606.8518173993 1707748.2595411786 1425269.7712796926 1204253.8134374465 1027816.821238535 885344.241384356 769761.5710489573 675066.0926466056 
0.00043929 3842467.3209306807 3113968.429500728 2527114.196416153 2065150.8038632025 1705289.6627455545 1423469.0553813868 1201991.6939793557 1025622.6488153094 883976.9480822451 768337.8430294765 673719.9911489525 
0.00044817 3836931.19641639 3104868.144632249 2519455.337203658 2060387.5154003953 1702436.2338795767 1421660.4360656156 1200239.3806456125 1023575.2877736319 882204.5227204034 767182.0248820414 673350.2991162532 
0.00045722 3832916.0331949787 3105812.3051845627 2520672.6056693257 2064743.1024288842 1701321.4801610322 1419766.4696831394 1198380.7105027544 1023915.341150235 881162.5053956673 767438.3462403861 671930.7353122763 
0.00046646 3827673.5777847986 3104948.5004019244 2520741.7907143193 2054498.1401442501 1698035.0880433498 1418788.1982696317 1197209.834847664 1021905.3005340697 881322.7226910698 765671.2645848882 670731.3222926827 
